Material Composition,Surface Treatment,Coating Thickness (µm),Curing Temperature (°C),Application Method,Contact Angle (°),Durability Score,UV Resistance (normalized),Corrosion Resistance (score)
Silicone,UV,21.14,169.3,Dip,125.2,84.7,0.92,72.2
Polyester,UV,16.44,161.7,Spray,120.4,63.6,0.87,75.1
Acrylic,UV,18.29,108.5,Spray,126.7,79.5,0.92,85.6
Polyester,None,19.51,128.0,Spray,91.1,68.0,0.81,80.1
Polyester,None,43.19,137.3,Spray,142.3,54.6,0.97,94.9
Epoxy,Chemical,11.15,89.9,Dip,145.9,95.9,0.99,82.9
Acrylic,Chemical,36.9,143.4,Spray,123.9,56.8,0.99,77.5
Acrylic,Plasma,29.88,132.4,Dip,131.8,97.5,0.95,88.5
Acrylic,Plasma,18.34,176.3,Dip,145.3,72.3,0.83,91.2
Polyester,Chemical,23.89,197.3,Brush,132.4,59.3,0.95,75.0
Silicone,None,16.53,146.7,Dip,99.2,77.1,0.8,75.0
Acrylic,UV,32.52,118.7,Brush,124.6,93.6,0.8,71.1
Polyester,Chemical,8.67,85.2,Dip,126.4,86.6,0.86,92.1
Epoxy,Plasma,5.23,191.0,Dip,115.4,90.3,0.9,89.9
Silicone,None,33.26,190.3,Dip,134.2,82.9,0.95,84.2
Epoxy,Chemical,13.74,110.4,Brush,146.1,84.6,0.94,95.3
Silicone,Chemical,8.19,163.4,Brush,145.5,92.5,0.89,94.2
Polyester,None,22.86,89.1,Spray,117.1,62.5,0.85,87.6
Polyurethane,Chemical,7.28,99.9,Brush,96.8,74.5,1.0,96.0
Silicone,None,44.9,106.0,Brush,149.1,61.1,0.89,76.2
Epoxy,UV,6.24,115.3,Brush,140.3,99.4,0.89,73.4
Polyester,None,31.05,199.5,Brush,97.5,97.2,0.83,78.1
Silicone,None,24.73,163.6,Spray,145.3,52.0,0.96,71.7
Polyurethane,None,35.24,126.1,Brush,142.2,85.3,0.94,85.9
Polyurethane,Chemical,19.77,168.5,Dip,121.1,96.3,0.84,98.1
Acrylic,Chemical,11.98,189.8,Dip,125.5,59.0,0.82,71.2
Acrylic,None,49.18,195.0,Brush,113.9,78.4,0.94,73.7
Epoxy,Chemical,42.75,86.9,Brush,93.3,95.8,0.93,83.6
Silicone,Plasma,43.72,127.3,Dip,110.1,51.7,0.85,98.0
Silicone,Plasma,16.26,92.8,Dip,138.2,84.9,0.99,79.5
Acrylic,Chemical,6.75,120.3,Spray,90.3,64.9,0.83,85.2
Silicone,Chemical,18.65,100.4,Dip,110.0,96.2,0.89,71.2
Silicone,None,29.17,157.6,Dip,113.9,98.6,0.99,74.5
Polyurethane,UV,19.7,126.6,Brush,122.2,97.2,0.88,99.6
Acrylic,Chemical,42.25,107.5,Dip,145.2,73.7,0.93,99.0
Polyester,Plasma,17.22,111.9,Spray,110.8,93.1,0.88,70.1
Acrylic,None,48.44,123.2,Dip,110.8,92.2,0.85,98.6
Polyester,Chemical,25.58,111.2,Brush,134.3,66.0,1.0,89.2
Polyurethane,Plasma,42.89,134.4,Brush,117.1,91.4,0.88,96.0
Epoxy,Plasma,13.75,83.9,Dip,103.5,51.9,0.98,83.6
Silicone,UV,23.51,113.6,Brush,117.1,79.8,0.85,85.5
Polyurethane,None,36.48,129.3,Spray,98.5,61.5,0.84,84.7
Silicone,None,11.23,152.3,Spray,100.6,56.0,0.81,90.0
Epoxy,UV,10.97,112.5,Dip,119.9,53.8,0.93,74.2
Epoxy,UV,48.63,96.0,Dip,115.1,84.8,0.87,70.9
Polyurethane,None,37.16,89.1,Dip,144.9,67.0,0.97,79.2
Epoxy,None,6.85,192.9,Brush,111.7,86.2,0.89,91.1
Polyester,Chemical,22.95,130.0,Spray,124.8,53.3,0.99,76.1
Epoxy,Chemical,24.51,149.7,Spray,127.9,65.8,0.84,90.2
Silicone,UV,38.48,190.3,Brush,90.8,77.0,0.97,99.1
Silicone,Chemical,16.29,89.9,Spray,129.8,89.5,0.96,72.8
Silicone,Plasma,13.3,185.2,Dip,100.7,65.9,0.95,90.2
Silicone,Chemical,8.64,146.2,Dip,147.7,81.3,0.97,83.3
Polyester,Chemical,24.27,99.8,Dip,98.9,94.3,0.95,96.0
Acrylic,Plasma,35.98,129.4,Spray,114.9,80.8,0.93,75.3
Polyurethane,UV,7.62,173.3,Dip,95.1,61.6,0.83,90.8
Silicone,Plasma,46.18,137.6,Brush,149.8,51.2,0.81,95.1
Epoxy,Chemical,24.91,198.2,Brush,120.1,93.5,0.98,98.3
Silicone,UV,15.79,125.2,Spray,125.7,51.1,0.92,90.5
Epoxy,Chemical,9.22,169.9,Brush,94.0,93.7,0.96,84.9
Epoxy,Plasma,13.23,127.2,Brush,135.0,76.4,0.9,88.5
Silicone,Plasma,47.06,179.5,Spray,102.6,97.0,0.82,96.1
Polyester,Chemical,33.72,148.3,Dip,143.9,89.9,0.83,87.1
Epoxy,None,28.25,87.6,Dip,102.3,99.9,0.94,70.9
Epoxy,None,34.57,84.4,Dip,101.4,67.5,0.89,97.9
Silicone,Plasma,24.61,96.1,Spray,92.2,88.4,0.84,90.7
Epoxy,Plasma,37.85,81.6,Brush,118.3,70.1,0.9,90.3
Epoxy,None,7.15,89.0,Dip,123.9,74.0,0.81,76.5
Silicone,None,30.47,163.0,Dip,93.9,81.4,0.92,89.8
Silicone,Chemical,12.14,144.1,Spray,136.5,93.7,0.85,81.8
Polyurethane,Chemical,10.41,170.0,Dip,117.2,99.2,0.96,89.5
Polyester,None,20.38,189.6,Spray,121.5,88.4,0.86,73.2
Polyester,Chemical,9.13,150.2,Brush,116.4,70.9,0.89,89.7
Epoxy,Chemical,9.24,167.1,Spray,114.0,71.1,0.8,100.0
Polyester,UV,19.01,170.8,Spray,123.6,86.9,0.81,71.4
Epoxy,Chemical,49.08,125.3,Spray,99.3,61.9,0.88,99.3
Polyurethane,Plasma,12.89,108.9,Spray,100.9,55.5,0.9,82.2
Silicone,Chemical,5.77,104.6,Brush,141.7,67.7,0.92,96.1
Silicone,Chemical,39.35,110.2,Brush,146.8,64.4,0.86,93.5
Silicone,None,41.31,113.0,Dip,112.4,64.8,0.94,87.0
Polyester,Plasma,20.58,104.9,Brush,106.2,61.7,0.97,92.2
